,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,GOOG210709C01770000,2021-06-14 19:59:16,1770.0,753.44,829.0,839.4,0.0,0.0,,1,2.3942911236572266,True,REGULAR,USD
1,GOOG210709C01880000,2021-06-18 19:47:11,1880.0,628.63,721.5,728.3,0.0,0.0,10.0,10,2.1092576565551755,True,REGULAR,USD
2,GOOG210709C02000000,2021-06-25 18:40:07,2000.0,550.0,599.4,605.7,0.0,0.0,10.0,10,1.6496599548339845,True,REGULAR,USD
3,GOOG210709C02050000,2021-06-14 16:43:28,2050.0,457.3,545.5,561.9,0.0,0.0,,2,1.575746750183105,True,REGULAR,USD
4,GOOG210709C02100000,2021-06-28 15:56:10,2100.0,426.0,503.1,505.9,0.0,0.0,10.0,10,1.4772365005493167,True,REGULAR,USD
5,GOOG210709C02150000,2021-06-21 16:38:13,2150.0,382.8,448.6,459.9,0.0,0.0,,2,1.333804600524902,True,REGULAR,USD
6,GOOG210709C02160000,2021-07-02 18:53:15,2160.0,410.93,443.1,445.9,0.0,0.0,6.0,12,1.3170810513305664,True,REGULAR,USD
7,GOOG210709C02190000,2021-07-01 14:09:44,2190.0,325.2,412.6,416.2,0.0,0.0,,2,1.2340126190185547,True,REGULAR,USD
8,GOOG210709C02200000,2021-07-02 19:18:16,2200.0,373.33,398.4,409.9,0.0,0.0,8.0,8,1.1984293008422853,True,REGULAR,USD
9,GOOG210709C02210000,2021-06-25 19:11:13,2210.0,339.08,388.5,399.8,0.0,0.0,1.0,2,1.1722453497314451,True,REGULAR,USD
10,GOOG210709C02250000,2021-06-04 17:26:13,2250.0,212.32,316.6,332.4,0.0,0.0,1.0,1,1.0000000000000003e-05,True,REGULAR,USD
11,GOOG210709C02270000,2021-06-25 19:54:30,2270.0,272.05,331.9,339.0,0.0,0.0,1.0,1,1.0571946554565428,True,REGULAR,USD
12,GOOG210709C02280000,2021-07-02 16:29:50,2280.0,295.22,318.5,328.4,0.0,0.0,8.0,8,0.9664309997558593,True,REGULAR,USD
13,GOOG210709C02300000,2021-07-02 14:33:49,2300.0,256.22,296.3,306.8,0.0,0.0,1.0,5,0.8468032897949218,True,REGULAR,USD
14,GOOG210709C02310000,2021-07-02 14:37:05,2310.0,249.64,286.9,304.0,0.0,0.0,1.0,1,0.9501958105468749,True,REGULAR,USD
15,GOOG210709C02320000,2021-07-06 19:30:28,2320.0,277.0,282.7,285.6,0.0,0.0,1.0,1,0.8856822955322265,True,REGULAR,USD
16,GOOG210709C02335000,2021-07-06 17:41:15,2335.0,252.85,265.6,272.1,0.0,0.0,1.0,3,0.8376481079101561,True,REGULAR,USD
17,GOOG210709C02340000,2021-07-06 19:30:21,2340.0,255.0,260.8,265.2,0.0,0.0,2.0,2,0.7987080676269531,True,REGULAR,USD
18,GOOG210709C02345000,2021-06-29 13:37:53,2345.0,242.85,251.7,263.2,0.0,0.0,1.0,1,0.7683738983154298,True,REGULAR,USD
19,GOOG210709C02350000,2021-07-02 14:37:37,2350.0,207.0,249.0,259.5,0.0,0.0,2.0,6,0.8101825622558592,True,REGULAR,USD
20,GOOG210709C02360000,2021-07-02 13:57:24,2360.0,193.17,241.6,247.9,0.0,0.0,1.0,9,0.7975484112548827,True,REGULAR,USD
21,GOOG210709C02365000,2021-06-14 18:59:53,2365.0,161.4,235.0,244.1,0.0,0.0,,1,0.7789328747558593,True,REGULAR,USD
