,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,MSFT210625C00140000,2021-06-14 04:09:04,140.0,117.64,124.15,128.35,0.0,0.0,,10,7.5820317724609385,True,REGULAR,USD
1,MSFT210625C00145000,2021-05-21 19:30:19,145.0,100.8,112.7,116.5,0.0,0.0,8.0,8,1.0000000000000003e-05,True,REGULAR,USD
2,MSFT210625C00160000,2021-05-28 17:38:07,160.0,91.02,104.15,108.35,0.0,0.0,1.0,1,6.216799104003906,True,REGULAR,USD
3,MSFT210625C00165000,2021-06-22 15:39:24,165.0,99.25,99.2,103.35,0.0,0.0,8.0,7,5.90039324951172,True,REGULAR,USD
4,MSFT210625C00170000,2021-06-16 19:18:50,170.0,96.88,94.15,98.35,9.139999,10.417141,2.0,3,5.591799885253906,True,REGULAR,USD
5,MSFT210625C00180000,2021-06-18 17:01:00,180.0,80.7,84.15,88.35,0.0,0.0,6.0,6,4.998050627441406,True,REGULAR,USD
6,MSFT210625C00185000,2021-06-23 18:30:33,185.0,80.0,79.15,83.35,0.0,0.0,1.0,2,4.711918172607421,True,REGULAR,USD
7,MSFT210625C00190000,2021-06-22 16:10:37,190.0,74.4,74.15,78.35,0.0,0.0,1.0,2,4.431645085449218,True,REGULAR,USD
8,MSFT210625C00195000,2021-06-18 17:37:50,195.0,70.79,69.15,73.35,0.0,0.0,15.0,13,4.1562548046875,True,REGULAR,USD
9,MSFT210625C00200000,2021-06-24 19:56:43,200.0,66.78,65.35,68.35,1.5199966,2.3291397,1.0,3,2.5273474316406244,True,REGULAR,USD
10,MSFT210625C00205000,2021-06-18 19:47:59,205.0,55.95,59.8,63.35,0.0,0.0,10.0,8,3.6191415771484374,True,REGULAR,USD
11,MSFT210625C00210000,2021-06-22 18:12:01,210.0,54.98,54.95,58.35,0.0,0.0,4.0,10,3.357423481445312,True,REGULAR,USD
12,MSFT210625C00215000,2021-06-18 19:54:43,215.0,45.7,49.9,53.35,0.0,0.0,1.0,3,3.0986350659179687,True,REGULAR,USD
13,MSFT210625C00217500,2021-06-08 16:43:05,217.5,35.75,47.65,50.85,0.0,0.0,2.0,2,1.640626796875,True,REGULAR,USD
14,MSFT210625C00220000,2021-06-18 14:53:16,220.0,41.92,45.5,48.35,0.0,0.0,5.0,137,1.890625546875,True,REGULAR,USD
15,MSFT210625C00222500,2021-05-20 13:32:11,222.5,24.05,35.25,39.0,0.0,0.0,1.0,3,1.0000000000000003e-05,True,REGULAR,USD
16,MSFT210625C00225000,2021-06-22 14:45:14,225.0,40.1,39.55,43.35,0.0,0.0,5.0,33,2.588382435302734,True,REGULAR,USD
