,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
40,GOOG210625C02315000,2021-06-14 13:45:26,2315.0,203.15,224.5,239.2,0.0,0.0,1.0,3,0.9387213159179688,True,REGULAR,USD
41,GOOG210625C02320000,2021-06-23 16:40:46,2320.0,223.33,219.7,230.2,0.0,0.0,2.0,4,1.19141029296875,True,REGULAR,USD
42,GOOG210625C02325000,2021-05-28 13:57:55,2325.0,120.8,214.5,225.4,0.0,0.0,1.0,2,1.1814005773925782,True,REGULAR,USD
43,GOOG210625C02330000,2021-06-23 14:30:32,2330.0,215.0,209.5,220.8,0.0,0.0,1.0,2,1.1818888562011716,True,REGULAR,USD
44,GOOG210625C02335000,2021-06-21 18:19:31,2335.0,198.7,204.6,219.9,0.0,0.0,1.0,7,0.9106454248046875,True,REGULAR,USD
45,GOOG210625C02340000,2021-06-23 19:08:22,2340.0,196.95,199.5,211.5,0.0,0.0,1.0,8,1.1738932907104491,True,REGULAR,USD
46,GOOG210625C02342500,2021-05-17 04:00:26,2342.5,46.18,0.0,0.0,0.0,0.0,,0,1.0000000000000003e-05,True,REGULAR,USD
47,GOOG210625C02345000,2021-06-21 18:19:31,2345.0,188.75,194.5,206.5,0.0,0.0,1.0,1,1.1512493609619139,True,REGULAR,USD
48,GOOG210625C02347500,2021-05-24 13:32:38,2347.5,80.0,195.5,199.2,0.0,0.0,1.0,1,0.8034687622070311,True,REGULAR,USD
49,GOOG210625C02350000,2021-06-23 17:12:44,2350.0,189.77,189.5,201.5,0.0,0.0,4.0,15,1.1285443963623047,True,REGULAR,USD
50,GOOG210625C02355000,2021-06-17 19:37:04,2355.0,184.6,184.7,196.5,0.0,0.0,4.0,17,1.1058394317626956,True,REGULAR,USD
51,GOOG210625C02360000,2021-06-18 13:32:51,2360.0,154.24,179.7,191.5,0.0,0.0,8.0,9,1.0830734323120117,True,REGULAR,USD
52,GOOG210625C02365000,2021-06-17 19:37:04,2365.0,174.81,174.7,185.7,0.0,0.0,4.0,5,1.0213671978759766,True,REGULAR,USD
53,GOOG210625C02367500,2021-06-14 15:58:14,2367.5,146.8,172.2,184.0,0.0,0.0,,1,1.0488328808593752,True,REGULAR,USD
54,GOOG210625C02370000,2021-06-24 19:47:53,2370.0,174.72,169.7,180.4,9.119995,5.507243,2.0,8,0.9838868798828125,True,REGULAR,USD
55,GOOG210625C02372500,2021-06-02 18:30:30,2372.5,173.1,167.2,179.0,101.100006,140.41667,2.0,2,1.0259448117065428,True,REGULAR,USD
56,GOOG210625C02375000,2021-06-18 15:50:54,2375.0,172.68,164.4,176.5,0.0,0.0,1.0,14,1.014531294555664,True,REGULAR,USD
57,GOOG210625C02377500,2021-06-14 17:45:39,2377.5,136.5,163.0,170.9,0.0,0.0,1.0,2,0.8375260388183592,True,REGULAR,USD
58,GOOG210625C02380000,2021-06-23 19:48:08,2380.0,150.24,159.4,171.6,0.0,0.0,2.0,8,0.9960327545166017,True,REGULAR,USD
59,GOOG210625C02382500,2021-06-21 13:57:57,2382.5,157.6,157.5,169.0,0.0,0.0,3.0,2,0.980041703491211,True,REGULAR,USD
60,GOOG210625C02385000,2021-06-16 17:37:02,2385.0,140.3,154.4,166.0,0.0,0.0,1.0,4,0.9458623577880858,True,REGULAR,USD
61,GOOG210625C02387500,2021-05-17 04:00:27,2387.5,37.32,0.0,0.0,0.0,0.0,,0,1.0000000000000003e-05,True,REGULAR,USD
62,GOOG210625C02390000,2021-06-18 15:26:06,2390.0,110.38,149.4,161.6,0.0,0.0,1.0,7,0.9498296032714844,True,REGULAR,USD
63,GOOG210625C02395000,2021-06-24 16:13:54,2395.0,152.17,144.5,157.0,22.619995,17.460436,7.0,17,0.9434820104980468,True,REGULAR,USD
64,GOOG210625C02397500,2021-06-11 15:03:29,2397.5,118.9,142.4,154.0,0.0,0.0,5.0,7,0.9106454248046875,True,REGULAR,USD
