,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,AAPL210709C00075000,2021-07-06 15:49:03,75.0,69.15,68.95,69.05,3.3499985,5.0911827,1.0,102,1.0000000000000003e-05,True,REGULAR,USD
1,AAPL210709C00080000,2021-06-30 18:08:18,80.0,56.85,63.95,64.05,0.0,0.0,,6,1.0000000000000003e-05,True,REGULAR,USD
2,AAPL210709C00085000,2021-06-16 18:40:46,85.0,43.9,58.95,59.1,0.0,0.0,40.0,40,2.3125042187499996,True,REGULAR,USD
3,AAPL210709C00090000,2021-07-07 14:27:48,90.0,53.5,53.95,54.05,1.4000015,2.687143,200.0,986,1.0000000000000003e-05,True,REGULAR,USD
4,AAPL210709C00095000,2021-06-24 15:17:16,95.0,39.15,48.95,49.05,0.0,0.0,3.0,10,1.0000000000000003e-05,True,REGULAR,USD
5,AAPL210709C00100000,2021-07-06 13:34:49,100.0,42.86,43.95,44.05,0.0,0.0,6.0,36,1.0000000000000003e-05,True,REGULAR,USD
6,AAPL210709C00105000,2021-06-25 17:39:34,105.0,28.21,38.95,39.05,0.0,0.0,1.0,11,1.0000000000000003e-05,True,REGULAR,USD
7,AAPL210709C00110000,2021-07-06 13:58:56,110.0,34.1,33.95,34.05,2.1799984,6.829569,13.0,430,1.0000000000000003e-05,True,REGULAR,USD
8,AAPL210709C00112000,2021-07-07 13:30:00,112.0,31.4,31.95,32.05,4.1399994,15.187085,48.0,21,1.0000000000000003e-05,True,REGULAR,USD
9,AAPL210709C00113000,2021-07-06 19:52:33,113.0,30.6,31.0,31.1,1.75,6.065858,9.0,158,1.1484417578125,True,REGULAR,USD
10,AAPL210709C00114000,2021-07-07 14:40:15,114.0,29.4,29.95,30.05,1.4499989,5.187831,50.0,111,1.0000000000000003e-05,True,REGULAR,USD
11,AAPL210709C00115000,2021-07-06 18:44:40,115.0,26.75,29.0,29.1,0.0,0.0,23.0,81,1.0781296093750001,True,REGULAR,USD
12,AAPL210709C00116000,2021-07-02 15:13:33,116.0,22.9,27.95,28.05,0.0,0.0,2.0,25,1.0000000000000003e-05,True,REGULAR,USD
13,AAPL210709C00117000,2021-07-06 15:39:33,117.0,26.2,26.95,27.05,1.25,5.01002,12.0,34,1.0000000000000003e-05,True,REGULAR,USD
14,AAPL210709C00118000,2021-06-30 14:58:09,118.0,25.9,25.95,26.1,6.8199997,35.744236,6.0,74,0.9687503125,True,REGULAR,USD
15,AAPL210709C00119000,2021-07-06 16:55:19,119.0,24.05,24.95,25.05,1.5,6.651885,15.0,427,1.0000000000000003e-05,True,REGULAR,USD
16,AAPL210709C00120000,2021-07-07 14:54:06,120.0,24.15,23.95,24.05,2.6000004,12.064967,7.0,264,1.0000000000000003e-05,True,REGULAR,USD
17,AAPL210709C00121000,2021-07-07 15:10:30,121.0,21.91,22.95,23.05,1.4400005,7.0346875,1.0,448,1.0000000000000003e-05,True,REGULAR,USD
18,AAPL210709C00122000,2021-07-07 15:49:04,122.0,22.05,21.95,22.05,1.8999996,9.429279,5.0,225,1.0000000000000003e-05,True,REGULAR,USD
19,AAPL210709C00123000,2021-07-06 19:19:51,123.0,20.6,20.95,21.05,1.4500008,7.5718055,15.0,503,1.0000000000000003e-05,True,REGULAR,USD
20,AAPL210709C00124000,2021-07-07 15:58:43,124.0,19.95,20.0,20.1,1.8500004,10.220996,121.0,1372,0.7539087109375,True,REGULAR,USD
21,AAPL210709C00125000,2021-07-07 15:07:35,125.0,17.91,18.95,19.05,0.79999924,4.675624,17.0,2008,1.0000000000000003e-05,True,REGULAR,USD
22,AAPL210709C00126000,2021-07-07 16:02:39,126.0,18.0,17.95,18.05,2.3400002,14.94253,352.0,1354,1.0000000000000003e-05,True,REGULAR,USD
23,AAPL210709C00127000,2021-07-07 14:24:40,127.0,16.15,16.95,17.05,1.3499994,9.121617,45.0,2048,1.0000000000000003e-05,True,REGULAR,USD
24,AAPL210709C00128000,2021-07-07 15:55:58,128.0,16.25,15.95,16.05,2.1000004,14.840992,339.0,2840,1.0000000000000003e-05,True,REGULAR,USD
25,AAPL210709C00129000,2021-07-07 16:05:02,129.0,15.01,14.95,15.05,2.0500002,15.817903,280.0,1462,1.0000000000000003e-05,True,REGULAR,USD
26,AAPL210709C00130000,2021-07-07 16:05:55,130.0,14.07,14.0,14.1,2.17,18.235294,230.0,4311,0.5429733203125001,True,REGULAR,USD
27,AAPL210709C00131000,2021-07-07 16:08:02,131.0,13.05,12.95,13.05,1.9700003,17.779785,321.0,3583,1.0000000000000003e-05,True,REGULAR,USD
28,AAPL210709C00132000,2021-07-07 15:27:59,132.0,11.24,12.0,12.1,1.1799994,11.729616,314.0,4217,0.4726615234375,True,REGULAR,USD
