,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,GOOG210702C01300000,2021-06-28 18:51:34,1300.0,1235.9,1221.8,1233.7,0.0,0.0,2.0,1,4.605472993164062,True,REGULAR,USD
1,GOOG210702C01340000,2021-06-23 17:26:52,1340.0,1199.55,1178.0,1192.4,0.0,0.0,2.0,2,6.084475050659179,True,REGULAR,USD
2,GOOG210702C01350000,2021-06-29 16:08:13,1350.0,1153.27,1171.9,1181.1,-2.4799805,-0.21457759,1.0,0,5.7500028125,True,REGULAR,USD
3,GOOG210702C01440000,2021-06-21 19:54:55,1440.0,1094.7,1079.4,1088.7,0.0,0.0,,3,4.530277774658202,True,REGULAR,USD
4,GOOG210702C01650000,2021-06-18 17:50:59,1650.0,856.33,871.9,880.9,0.0,0.0,1.0,1,4.046635801086426,True,REGULAR,USD
5,GOOG210702C01660000,2021-05-20 18:50:48,1660.0,694.48,844.1,860.4,0.0,0.0,,0,1.0000000000000003e-05,True,REGULAR,USD
6,GOOG210702C01680000,2021-06-29 19:02:57,1680.0,841.4,841.7,851.6,0.0,0.0,2.0,2,4.010747174072266,True,REGULAR,USD
7,GOOG210702C01700000,2021-06-04 14:02:21,1700.0,736.75,821.4,831.6,0.0,0.0,2.0,2,3.90942405456543,True,REGULAR,USD
8,GOOG210702C01750000,2021-06-14 19:59:16,1750.0,773.34,768.2,783.5,0.0,0.0,1.0,1,3.90393090423584,True,REGULAR,USD
9,GOOG210702C01770000,2021-07-01 17:52:15,1770.0,746.49,748.1,762.6,8.820007,1.1956576,11.0,9,3.6943367016601565,True,REGULAR,USD
10,GOOG210702C01810000,2021-06-02 14:03:35,1810.0,619.25,715.1,718.8,0.0,0.0,1.0,1,2.8593778515625,True,REGULAR,USD
11,GOOG210702C01820000,2021-06-02 14:03:35,1820.0,609.2,698.2,715.1,0.0,0.0,1.0,1,3.707031982421875,True,REGULAR,USD
12,GOOG210702C01850000,2021-06-07 18:10:44,1850.0,602.1,672.1,681.3,0.0,0.0,,2,3.139162308349609,True,REGULAR,USD
13,GOOG210702C01900000,2021-06-16 14:12:48,1900.0,630.5,622.0,631.3,0.0,0.0,10.0,10,2.9079617144775396,True,REGULAR,USD
14,GOOG210702C01920000,2021-06-16 17:20:23,1920.0,598.5,605.0,611.3,0.0,0.0,5.0,5,2.2226606933593747,True,REGULAR,USD
15,GOOG210702C02010000,2021-06-23 19:37:50,2010.0,524.1,511.9,521.3,0.0,0.0,,1,2.413822324829101,True,REGULAR,USD
16,GOOG210702C02020000,2021-06-30 16:18:08,2020.0,488.88,498.1,509.7,0.0,0.0,2.0,2,2.1684616101074217,True,REGULAR,USD
17,GOOG210702C02070000,2021-06-07 15:54:41,2070.0,383.7,452.9,461.9,0.0,0.0,,2,1.203128984375,True,REGULAR,USD
18,GOOG210702C02100000,2021-06-22 17:10:06,2100.0,434.6,421.9,431.5,0.0,0.0,,10,2.0402881024169917,True,REGULAR,USD
