,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,TSLA210702C00050000,2021-07-01 18:42:30,50.0,625.3,624.1,631.2,-9.25,-1.4577259,2,8,27.941407518310548,True,REGULAR,USD
1,TSLA210702C00100000,2021-06-28 16:16:41,100.0,579.7,574.2,581.6,-10.25,-1.7374353,4,30,20.453128608398437,True,REGULAR,USD
2,TSLA210702C00150000,2021-07-01 14:03:39,150.0,528.6,524.2,531.6,-1.9500122,-0.36754543,1,74,16.10156746826172,True,REGULAR,USD
3,TSLA210702C00200000,2021-07-01 15:37:19,200.0,479.35,474.35,481.7,-3.1999817,-0.66313994,4,38,8.218754863281248,True,REGULAR,USD
4,TSLA210702C00250000,2021-07-01 13:34:15,250.0,436.65,424.35,431.7,2.5499878,0.5874194,1,26,6.781251523437501,True,REGULAR,USD
5,TSLA210702C00300000,2021-06-28 14:52:21,300.0,377.75,374.35,381.7,-0.1000061,-0.026467143,1,85,5.5937530078124995,True,REGULAR,USD
6,TSLA210702C00310000,2021-06-30 17:01:44,310.0,375.9,364.2,371.6,1.75,0.46772686,2,36,8.746098283691406,True,REGULAR,USD
7,TSLA210702C00320000,2021-06-30 16:23:03,320.0,364.0,354.35,360.75,0.0,0.0,7,18,8.021489361572264,True,REGULAR,USD
8,TSLA210702C00330000,2021-06-28 14:15:42,330.0,355.9,344.35,350.75,-2.399994,-0.66982806,1,14,7.728515964355469,True,REGULAR,USD
9,TSLA210702C00340000,2021-06-30 16:16:29,340.0,346.4,334.35,340.75,0.0,0.0,2,24,7.444336632080079,True,REGULAR,USD
10,TSLA210702C00350000,2021-07-01 16:23:10,350.0,329.05,324.35,331.7,-10.050018,-2.963733,10,18,4.5937542578125,True,REGULAR,USD
11,TSLA210702C00360000,2021-06-30 18:57:21,360.0,321.9,314.35,321.7,-2.600006,-0.8012345,11,14,4.414066982421874,True,REGULAR,USD
12,TSLA210702C00370000,2021-06-30 14:01:34,370.0,308.15,304.35,311.7,-5.3000183,-1.6908655,6,30,4.23437970703125,True,REGULAR,USD
13,TSLA210702C00380000,2021-06-29 16:51:28,380.0,299.6,294.35,301.7,0.0,0.0,7,14,4.062504921875,True,REGULAR,USD
14,TSLA210702C00390000,2021-06-29 16:42:48,390.0,289.65,284.35,291.7,0.0,0.0,2,14,3.8906252734375,True,REGULAR,USD
15,TSLA210702C00400000,2021-07-01 15:08:28,400.0,279.15,274.4,280.65,-1.0800171,-0.38540378,3,578,5.8486355017089835,True,REGULAR,USD
16,TSLA210702C00410000,2021-06-29 14:03:19,410.0,270.5,264.4,271.7,0.0,0.0,5,30,3.6406258984375004,True,REGULAR,USD
17,TSLA210702C00420000,2021-07-01 13:46:38,420.0,262.05,254.4,261.7,-7.200012,-2.6740992,5,63,3.480470048828125,True,REGULAR,USD
18,TSLA210702C00430000,2021-06-29 19:15:41,430.0,260.85,244.4,251.7,0.0,0.0,1,46,3.3242204394531245,True,REGULAR,USD
19,TSLA210702C00440000,2021-07-01 15:53:31,440.0,242.25,234.4,241.7,-2.600006,-1.061877,1,62,3.1718770703125,True,REGULAR,USD
20,TSLA210702C00450000,2021-06-30 13:39:03,450.0,224.05,224.4,231.75,-10.300003,-4.395137,1,79,3.0781273046874995,True,REGULAR,USD
21,TSLA210702C00455000,2021-06-28 16:16:41,455.0,225.05,219.4,226.75,0.0,0.0,1,80,3.0000025,True,REGULAR,USD
22,TSLA210702C00460000,2021-06-29 13:53:57,460.0,219.95,214.45,221.75,-3.5,-1.5663459,2,68,2.9765650585937498,True,REGULAR,USD
23,TSLA210702C00465000,2021-06-30 18:17:57,465.0,216.15,209.45,216.75,-2.7000122,-1.2337273,1,55,2.902346494140625,True,REGULAR,USD
24,TSLA210702C00470000,2021-06-29 17:11:05,470.0,209.8,204.45,211.65,0.0,0.0,2,101,2.72656568359375,True,REGULAR,USD
25,TSLA210702C00475000,2021-06-30 16:15:27,475.0,211.9,199.45,206.7,0.0,0.0,5,137,2.707034482421875,True,REGULAR,USD
26,TSLA210702C00480000,2021-07-01 16:16:13,480.0,200.1,194.45,201.7,-5.299988,-2.5803251,2,1027,2.6328159179687503,True,REGULAR,USD
27,TSLA210702C00485000,2021-07-01 16:16:13,485.0,195.15,189.45,196.7,-4.300003,-2.1559303,1,155,2.56250359375,True,REGULAR,USD
28,TSLA210702C00490000,2021-07-01 18:36:26,490.0,185.52,184.5,191.85,-9.479996,-4.861536,2,90,2.6445346386718755,True,REGULAR,USD
29,TSLA210702C00495000,2021-07-01 15:34:35,495.0,185.4,181.85,186.75,-4.600006,-2.421056,4,106,3.3120134387207028,True,REGULAR,USD
30,TSLA210702C00500000,2021-07-01 14:23:41,500.0,175.45,174.5,180.1,-5.800003,-3.2000017,8,236,3.5151379309082027,True,REGULAR,USD
31,TSLA210702C00505000,2021-07-01 19:58:39,505.0,172.55,169.5,176.8,-5.550003,-3.1162283,22,118,2.3925821435546872,True,REGULAR,USD
32,TSLA210702C00510000,2021-07-01 17:02:25,510.0,166.35,164.5,171.9,-7.699997,-4.424014,2,76,2.3789103027343748,True,REGULAR,USD
33,TSLA210702C00515000,2021-06-30 13:46:10,515.0,171.65,159.55,166.85,0.0,0.0,3,145,2.306644858398437,True,REGULAR,USD
34,TSLA210702C00520000,2021-07-01 13:38:37,520.0,160.25,154.55,161.85,-9.199997,-5.4293284,6,124,2.2343794140624995,True,REGULAR,USD
35,TSLA210702C00525000,2021-07-01 14:21:06,525.0,149.95,149.55,157.0,-14.050003,-8.567075,4,89,2.2343794140624995,True,REGULAR,USD
36,TSLA210702C00530000,2021-07-01 16:39:10,530.0,148.35,144.55,150.5,-6.649994,-4.2903185,2,112,3.0600609436035158,True,REGULAR,USD
37,TSLA210702C00535000,2021-07-01 17:12:51,535.0,141.8,139.55,146.95,-8.199997,-5.466665,3,101,2.068364204101562,True,REGULAR,USD
38,TSLA210702C00540000,2021-07-01 18:57:27,540.0,136.2,134.7,142.0,-11.949997,-8.066148,7,165,2.0742235644531246,True,REGULAR,USD
39,TSLA210702C00545000,2021-07-01 14:04:52,545.0,135.45,129.6,135.6,-4.5,-3.215434,6,81,2.8022490881347655,True,REGULAR,USD
40,TSLA210702C00550000,2021-07-01 17:10:19,550.0,127.75,124.6,130.65,-8.449997,-6.2041097,14,257,2.7202180432128906,True,REGULAR,USD
41,TSLA210702C00555000,2021-07-01 15:55:27,555.0,123.6,119.6,127.15,-6.9500046,-5.323634,15,105,1.8710943945312501,True,REGULAR,USD
42,TSLA210702C00560000,2021-07-01 19:58:28,560.0,117.65,114.65,122.2,-3.1299973,-2.5914865,32,243,1.8281258593749998,True,REGULAR,USD
43,TSLA210702C00565000,2021-07-01 15:53:31,565.0,117.85,109.65,117.25,1.4000015,1.202234,13,147,1.7695324023437498,True,REGULAR,USD
44,TSLA210702C00570000,2021-07-01 14:55:22,570.0,108.8,104.65,112.3,-6.2999954,-5.4734974,25,333,1.7089858300781249,True,REGULAR,USD
45,TSLA210702C00575000,2021-07-01 19:19:42,575.0,103.94,99.7,106.55,-2.0599976,-1.943394,28,213,1.408206083984375,True,REGULAR,USD
46,TSLA210702C00577500,2021-07-01 16:41:55,577.5,101.21,97.2,103.25,-4.8899994,-4.608859,7,94,2.2290083337402335,True,REGULAR,USD
47,TSLA210702C00580000,2021-07-01 19:14:33,580.0,99.35,94.75,100.9,-6.0,-5.695301,63,201,2.2114302526855463,True,REGULAR,USD
48,TSLA210702C00582500,2021-07-01 15:54:45,582.5,100.59,92.25,98.4,-1.2100067,-1.1886117,11,150,2.164799509887695,True,REGULAR,USD
49,TSLA210702C00585000,2021-07-01 16:40:18,585.0,93.17,89.8,95.85,-3.5299988,-3.650464,73,285,2.1088914465332027,True,REGULAR,USD
50,TSLA210702C00587500,2021-07-01 19:26:23,587.5,91.13,87.3,93.45,-1.6700058,-1.7995752,28,161,2.080571204833984,True,REGULAR,USD
51,TSLA210702C00590000,2021-07-01 19:58:08,590.0,88.76,84.85,91.1,-3.9899979,-4.301884,52,290,1.0312548437500002,True,REGULAR,USD
52,TSLA210702C00592500,2021-07-01 18:27:42,592.5,85.5,82.4,88.55,-7.199997,-7.7669873,29,199,1.0039112304687499,True,REGULAR,USD
