,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,AAPL210702C00065000,2021-06-25 19:43:04,65.0,71.3,72.2,72.35,-0.75,-1.0409437,2,55,4.500004375,True,REGULAR,USD
1,AAPL210702C00070000,2021-06-22 18:55:58,70.0,67.05,66.8,67.65,0.0,0.0,1,12,6.773439033203125,True,REGULAR,USD
2,AAPL210702C00075000,2021-06-30 15:29:56,75.0,62.05,62.2,62.35,0.0,0.0,3,2,3.750000625,True,REGULAR,USD
3,AAPL210702C00080000,2021-06-30 14:44:08,80.0,56.74,57.2,57.35,0.0,0.0,55,25,3.3750015624999996,True,REGULAR,USD
4,AAPL210702C00085000,2021-06-30 14:40:32,85.0,51.73,52.2,52.65,0.0,0.0,35,46,4.343754570312499,True,REGULAR,USD
5,AAPL210702C00090000,2021-06-21 19:28:06,90.0,42.05,46.8,47.35,0.0,0.0,2,25,3.5390636523437498,True,REGULAR,USD
6,AAPL210702C00095000,2021-06-29 18:00:18,95.0,41.37,42.2,42.35,0.0,0.0,3,13,2.3125042187499996,True,REGULAR,USD
7,AAPL210702C00100000,2021-06-29 17:38:20,100.0,36.2,37.2,37.35,0.0,0.0,12,165,2.000005,True,REGULAR,USD
8,AAPL210702C00105000,2021-07-01 14:37:43,105.0,31.57,32.2,32.35,-0.7799988,-2.4111247,1,39,1.75000125,True,REGULAR,USD
9,AAPL210702C00106000,2021-07-01 16:50:35,106.0,30.17,31.2,31.35,-0.15999985,-0.52752995,4,55,1.6875015625,True,REGULAR,USD
10,AAPL210702C00107000,2021-06-21 19:24:15,107.0,25.05,30.2,30.35,0.0,0.0,3,53,1.625001875,True,REGULAR,USD
11,AAPL210702C00108000,2021-06-23 18:01:38,108.0,25.9,29.2,29.35,0.0,0.0,1,4,1.5625021874999998,True,REGULAR,USD
12,AAPL210702C00109000,2021-07-01 18:26:44,109.0,27.75,28.2,28.35,0.8299999,3.083209,2,55,1.5000025,True,REGULAR,USD
13,AAPL210702C00110000,2021-07-01 17:19:50,110.0,26.2,27.2,27.35,0.15000153,0.57582164,5,74,1.4375028125,True,REGULAR,USD
14,AAPL210702C00111000,2021-06-23 17:08:53,111.0,22.85,26.25,26.35,0.0,0.0,5,5,1.6875015625,True,REGULAR,USD
15,AAPL210702C00112000,2021-06-28 13:50:49,112.0,22.85,25.25,25.35,0.0,0.0,2,22,1.625001875,True,REGULAR,USD
16,AAPL210702C00113000,2021-06-25 13:53:50,113.0,20.4,24.25,24.35,0.0,0.0,10,31,1.5625021874999998,True,REGULAR,USD
17,AAPL210702C00114000,2021-06-23 13:48:36,114.0,20.3,23.25,23.35,0.0,0.0,2,6,1.5000025,True,REGULAR,USD
18,AAPL210702C00115000,2021-07-01 18:04:08,115.0,21.6,22.25,22.35,0.20000076,0.93458307,12,78,1.4375028125,True,REGULAR,USD
19,AAPL210702C00116000,2021-07-01 14:47:07,116.0,20.4,21.25,21.35,-0.80000114,-3.77359,2,69,1.3750031249999999,True,REGULAR,USD
20,AAPL210702C00117000,2021-07-01 19:22:00,117.0,19.93,20.25,20.35,0.47999954,2.4678638,2,58,1.3125034374999998,True,REGULAR,USD
21,AAPL210702C00118000,2021-07-01 19:22:00,118.0,18.98,19.25,19.35,0.37999916,2.0430062,1,66,1.2500037499999999,True,REGULAR,USD
22,AAPL210702C00119000,2021-07-01 13:48:29,119.0,18.12,18.25,18.35,0.27000046,1.5126076,1,71,1.1875040625,True,REGULAR,USD
23,AAPL210702C00120000,2021-07-01 19:00:45,120.0,16.95,17.25,17.35,-0.099998474,-0.5865013,46,773,1.125004375,True,REGULAR,USD
24,AAPL210702C00121000,2021-06-30 19:49:30,121.0,16.35,16.25,16.35,0.0,0.0,13,505,1.0703171484375003,True,REGULAR,USD
25,AAPL210702C00122000,2021-07-01 19:36:09,122.0,15.06,15.25,15.35,0.26000023,1.7567582,9,721,1.0078174609375,True,REGULAR,USD
26,AAPL210702C00123000,2021-07-01 19:52:30,123.0,14.22,14.25,14.35,0.22000027,1.5714304,108,376,0.945313046875,True,REGULAR,USD
27,AAPL210702C00124000,2021-07-01 19:32:33,124.0,13.05,13.25,13.35,0.06000042,0.46189702,54,699,0.8828136718749999,True,REGULAR,USD
28,AAPL210702C00125000,2021-07-01 19:43:21,125.0,12.1,12.25,12.35,0.11000061,0.9174363,224,2499,0.8203142968749999,True,REGULAR,USD
29,AAPL210702C00126000,2021-07-01 19:52:37,126.0,11.05,11.25,11.35,0.06000042,0.5459547,227,1383,0.7656273437500001,True,REGULAR,USD
30,AAPL210702C00127000,2021-07-01 19:36:30,127.0,10.03,10.25,10.35,-0.06000042,-0.5946523,904,2111,0.70312796875,True,REGULAR,USD
