,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,MSFT210702C00125000,2021-06-28 13:45:26,125.0,146.2,145.85,147.35,2.949997,2.0593348,1.0,2,0.500005,True,REGULAR,USD
1,MSFT210702C00130000,2021-06-28 13:51:14,130.0,138.2,140.85,142.35,0.0,0.0,5.0,21,0.500005,True,REGULAR,USD
2,MSFT210702C00135000,2021-06-28 13:51:11,135.0,133.25,135.85,137.35,0.0,0.0,5.0,10,0.500005,True,REGULAR,USD
3,MSFT210702C00145000,2021-06-21 13:46:02,145.0,114.01,125.85,127.35,0.0,0.0,,4,0.500005,True,REGULAR,USD
4,MSFT210702C00160000,2021-06-08 16:29:31,160.0,93.15,110.85,112.35,0.0,0.0,,7,0.500005,True,REGULAR,USD
5,MSFT210702C00165000,2021-06-21 13:46:07,165.0,94.01,105.85,107.35,0.0,0.0,3.0,6,0.500005,True,REGULAR,USD
6,MSFT210702C00170000,2021-06-25 14:39:43,170.0,95.66,100.85,102.35,0.0,0.0,1.0,21,0.500005,True,REGULAR,USD
7,MSFT210702C00175000,2021-06-22 13:31:30,175.0,88.0,95.85,97.35,0.0,0.0,1.0,17,0.500005,True,REGULAR,USD
8,MSFT210702C00180000,2021-06-30 17:07:16,180.0,90.39,90.85,92.35,0.0,0.0,1.0,14,0.500005,True,REGULAR,USD
9,MSFT210702C00185000,2021-06-14 13:52:41,185.0,73.35,85.85,87.35,0.0,0.0,,5,0.500005,True,REGULAR,USD
10,MSFT210702C00190000,2021-06-21 13:46:09,190.0,69.05,80.85,82.35,0.0,0.0,,7,0.500005,True,REGULAR,USD
11,MSFT210702C00195000,2021-06-18 19:48:32,195.0,65.9,75.85,77.35,0.0,0.0,5.0,8,0.500005,True,REGULAR,USD
12,MSFT210702C00200000,2021-06-28 19:39:29,200.0,67.79,70.85,72.35,0.0,0.0,1.0,24,0.500005,True,REGULAR,USD
13,MSFT210702C00205000,2021-06-25 19:59:28,205.0,59.75,65.85,67.35,0.0,0.0,1.0,8,0.500005,True,REGULAR,USD
14,MSFT210702C00210000,2021-06-25 17:42:45,210.0,54.85,60.85,62.35,0.0,0.0,3.0,0,0.500005,True,REGULAR,USD
15,MSFT210702C00215000,2021-06-25 19:50:23,215.0,50.75,55.85,57.35,0.0,0.0,2.0,12,0.500005,True,REGULAR,USD
16,MSFT210702C00220000,2021-06-25 19:44:58,220.0,45.35,50.85,52.35,0.0,0.0,3.0,38,0.500005,True,REGULAR,USD
17,MSFT210702C00222500,2021-06-21 19:22:04,222.5,48.01,48.35,49.85,0.0,0.0,5.0,6,0.500005,True,REGULAR,USD
18,MSFT210702C00225000,2021-06-22 19:56:49,225.0,40.43,45.85,47.35,0.0,0.0,3.0,20,0.500005,True,REGULAR,USD
19,MSFT210702C00227500,2021-06-18 16:14:30,227.5,33.23,43.35,44.85,0.0,0.0,1.0,6,0.500005,True,REGULAR,USD
20,MSFT210702C00230000,2021-06-30 13:40:49,230.0,40.5,41.0,42.0,0.0,0.0,20.0,120,1.8291024169921872,True,REGULAR,USD
21,MSFT210702C00232500,2021-06-25 19:52:19,232.5,38.74,38.35,39.85,0.0,0.0,5.0,8,0.500005,True,REGULAR,USD
22,MSFT210702C00235000,2021-07-01 17:42:37,235.0,35.74,36.3,37.35,0.020000458,0.055992324,1.0,131,1.46875265625,True,REGULAR,USD
23,MSFT210702C00237500,2021-06-29 16:34:59,237.5,33.95,33.35,34.85,1.2000008,3.6641245,5.0,51,0.500005,True,REGULAR,USD
24,MSFT210702C00240000,2021-07-01 18:04:00,240.0,30.56,31.05,32.35,-0.19000053,-0.6178879,2.0,246,1.12891060546875,True,REGULAR,USD
25,MSFT210702C00242500,2021-07-01 16:16:27,242.5,28.1,28.35,29.85,-0.19000053,-0.67161727,9.0,50,0.500005,True,REGULAR,USD
26,MSFT210702C00245000,2021-07-01 19:23:41,245.0,25.77,26.4,27.35,0.47000122,1.8577123,54.0,222,1.1494183154296875,True,REGULAR,USD
27,MSFT210702C00247500,2021-07-01 16:25:00,247.5,23.37,23.5,24.85,0.5700016,2.5000072,9.0,493,0.8476577734374999,True,REGULAR,USD
28,MSFT210702C00250000,2021-07-01 19:23:03,250.0,20.8,21.25,22.35,-0.30000114,-1.4218063,64.0,3629,0.90429783203125,True,REGULAR,USD
